competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,color,stem_length,stems_per_unit,unit_price,price_per_stem,available_units,grower_country,product_url,matched_variety_name,variety_key,variety_score,cleaned_name_used,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Dvflora,40531,Stock Pink/White Antique 4pk B,Stock,Bu,Pink,,1,12.99,12.99,4,South America,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Vintage Stock pink,dba92934-0c38-4d9f-985d-a0e8b54ce70b,0.9598796367645264,antique b pink stock white,Stock,ab301a1f-7596-45ee-a689-dfc531f7b0c2,1.0000001192092896,2025-05-19,2025-05-28
Dvflora,24996,Statice Purple Tissue Queens,Statice,Bu,Purple,,1,,,,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Queen Kale purple,85c90851-9bfd-4187-8e14-f5865c841a6e,0.9377961158752441,purple queen statice tissue,Statice,0fe1b331-a9eb-46d8-b354-81a9f944723a,1.0,2025-05-19,2025-05-28
Dvflora,26814,Artemisia Dusty Miller Lg Leaf,Artemisia,Bu,Silver,,1,,,,California,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,artemisia dusty leaf lg miller,Gardenia,c6857541-7426-4f90-b64f-1af4002f66b0,0.8881041407585144,2025-05-19,2025-05-28
Dvflora,26967,Artemisia Dusty Miller Lacey,Artemisia,Bu,Silver,,1,,,,California,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,artemisia dusty lacey miller,Gardenia,c6857541-7426-4f90-b64f-1af4002f66b0,0.8881041407585144,2025-05-19,2025-05-28
Dvflora,17732,Statice Blush Tissue,Statice,Bu,Blush,,1,,,,California,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Blush Statice blush,0ec7ba2a-dcfb-4580-abd9-25e095c0e748,0.9452008008956909,blush statice tissue,Statice,0fe1b331-a9eb-46d8-b354-81a9f944723a,1.0,2025-05-19,2025-05-28
Dvflora,40531,Stock Pink/White Antique 4pk B,Stock,Bu,Pink/White Bicolor,,1,12.99,12.99,4,South America,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Vintage Stock pink,dba92934-0c38-4d9f-985d-a0e8b54ce70b,0.9598796367645264,antique b pink stock white,Stock,ab301a1f-7596-45ee-a689-dfc531f7b0c2,1.0000001192092896,2025-05-19,2025-05-28
Dvflora,26719,Astilbe Pink Europa 5pk Dutch,Astilbe,Bu,Pink,,1,16.99,16.99,5,Holland,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Romanze Astilbe pink,13f93d43-6f1e-49ae-98a7-83b9c65d94b0,0.9642421007156372,astilbe dutch europa pink,Astilbe,09cbb165-445b-4c82-9a3b-b033cbac9f12,1.0,2025-05-19,2025-05-28
Dvflora,26131,Rose Org Free Spirit 40cm,Roses-Standard,Stem,Orange,40,1,1.39,1.39,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,free orange rose spirit,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.93979811668396,2025-05-19,2025-05-28
Dvflora,62094,Rose Org Free Spirit 40cm cs10,Roses-Standard,Stem,Orange,40,1,1.29,1.29,100,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,free orange rose spirit,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.93979811668396,2025-05-19,2025-05-28
Dvflora,49842,Rose Org Free Spirit 40cm Cs50,Roses-Standard,Stem,Orange,40,1,1.29,1.29,50,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,free orange rose spirit,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.93979811668396,2025-05-19,2025-05-28
