competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,color,stem_length,stems_per_unit,unit_price,price_per_stem,available_units,grower_country,product_url,matched_variety_name,variety_key,variety_score,cleaned_name_used,matched_product_group_name,product_group_key,product_group_score,created_at,eta_date
Dvflora,30819,Rose Pk Esperance 60cm,Roses-Standard,Stem,Pink,60,1,1.79,1.79,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Fussion Roses pink,30fb1b62-aca3-43a9-ab7d-06c0897080a6,0.9775129556655884,esperance pink rose,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8889873623847961,2025-05-14,2025-05-22
Dvflora,30796,Rose Var Sweetness 60cm,Roses-Standard,Stem,Bicolor,60,1,1.69,1.69,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Sweetness Roses pink - multiple,3799423d-b9c8-46fc-9e05-1abc29fed4db,0.9701368808746338,rose sweetness var,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8889873623847961,2025-05-14,2025-05-22
Dvflora,62888,Mum Spider Purple 5pk,Mums-Bunched,Bu,Purple,,1,7.99,7.99,5,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,mum purple spider,,,,2025-05-14,2025-05-22
Dvflora,38502,Mum Spider Asst 4pk DVFlora,Mums-Bunched,Bu,Assorted,,1,7.99,7.99,4,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,assorted dvflora mum spider,,,,2025-05-14,2025-05-22
Dvflora,21991,Mum Spider Asst 9pk,Mums-Bunched,Bu,Assorted,,1,8.99,8.99,9,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Spider Anastasia Rubi (tinted-dyed) Chrysanthemum Disbuds/ Mums red,03f776c5-757c-4789-ad07-2c813260544a,0.901628851890564,assorted mum spider,,,,2025-05-14,2025-05-22
Dvflora,23975,Rose Pk Faith 40cm,Roses-Standard,Stem,Pink,40,1,1.35,1.35,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Faith Roses pink - light,2bef2294-90df-49da-8bfd-0ee960791b68,0.9528276324272156,faith pink rose,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8889873623847961,2025-05-14,2025-05-22
Dvflora,30409,Rose Pk Faith 50cm,Roses-Standard,Stem,Pink,50,1,1.79,1.79,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Faith Roses pink - light,2bef2294-90df-49da-8bfd-0ee960791b68,0.9528276324272156,faith pink rose,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8889873623847961,2025-05-14,2025-05-22
Dvflora,50012,Mum Spider Lav. Anas DVFl 4pk,Mums-Bunched,Bu,Lavender,,1,7.99,7.99,4,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Spider Anastasia Lavender (tinted-dyed) Chrysanthemum Disbuds/ Mums lavender,2f147ad4-2cd8-4c79-9d10-becb8f1497f4,0.9575947523117065,ana dvfl lavender mum spider,,,,2025-05-14,2025-05-22
Dvflora,22000,Mum Spider Lavender,Mums-Bunched,Bu,Lavender,,1,6.69,6.69,18,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Spider Anastasia Lavender (tinted-dyed) Chrysanthemum Disbuds/ Mums lavender,2f147ad4-2cd8-4c79-9d10-becb8f1497f4,0.943937361240387,lavender mum spider,,,,2025-05-14,2025-05-22
Dvflora,50013,Mum Spider Yel Anas DVFlra 4pk,Mums-Bunched,Bu,Yellow,,1,7.99,7.99,4,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Spider Anastasia Yellow Seldis Chrysanthemum Disbuds/ Mums yellow,dfd1e14f-53a3-48a4-bcfe-2a764698fc52,0.9323039054870605,ana dvflra mum spider yellow,,,,2025-05-14,2025-05-22
Dvflora,21988,Mum Spider Yellow,Mums-Bunched,Bu,Yellow,,1,9.79,9.79,18,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Spider Anastasia Yellow Seldis Chrysanthemum Disbuds/ Mums yellow,dfd1e14f-53a3-48a4-bcfe-2a764698fc52,0.9224104881286621,mum spider yellow,,,,2025-05-14,2025-05-22
Dvflora,67349,Rose HPk Hot Spot 50cm,Roses-Standard,Stem,Pink,50,1,1.89,1.89,25,South America,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,Hot Spot Roses pink - dark,462eaf1f-e613-4304-9570-45191ee16639,0.939932107925415,hot hot pink rose spot,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8889873623847961,2025-05-14,2025-05-22
Dvflora,33731,Rose Wht Polar Star 50cm,Roses-Standard,Stem,White,50,1,1.59,1.59,25,South America,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,polar rose star white,Roses,7a68bebd-2346-4e73-9906-a7665c22ce20,0.8889873623847961,2025-05-14,2025-05-22
Dvflora,37374,Mum Spider White,Mums-Bunched,Bu,White,,1,9.89,9.89,18,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,mum spider white,,,,2025-05-14,2025-05-22
Dvflora,52682,Mum Spider White Anastasia 4pk,Mums-Bunched,Bu,White,,1,7.79,7.79,4,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,anastasia mum spider white,,,,2025-05-14,2025-05-22
Dvflora,49685,Mum Spider White Topspin 9pk,Mums-Bunched,Bu,White,,1,9.99,9.99,9,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,mum spider topspin white,,,,2025-05-14,2025-05-22
Dvflora,62886,Mum Spider White Yazoo 5pk,Mums-Bunched,Bu,White,,1,6.79,6.79,5,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,mum spider white yazoo,,,,2025-05-14,2025-05-22
Dvflora,46971,Mum Spider Green,Mums-Bunched,Bu,Green,,1,10.49,10.49,18,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,green mum spider,,,,2025-05-14,2025-05-22
Dvflora,37301,Mum Spider Green Dark,Mums-Bunched,Bu,Green,,1,7.99,7.99,18,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,dark green mum spider,,,,2025-05-14,2025-05-22
Dvflora,50014,Mum Spider Grn Anas DVFL 4pk,Mums-Bunched,Bu,Green,,1,6.99,6.99,4,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,,,,ana dvfl green mum spider,,,,2025-05-14,2025-05-22
