competitor_product_id,variety_key
8062177182005,00277380-3ecc-45bc-875e-5fc3254c3534
823385,00277380-3ecc-45bc-875e-5fc3254c3534
68380,00277380-3ecc-45bc-875e-5fc3254c3534
1977120,004b1710-a8a4-498b-b0db-2c9a43d81d8a
487770,0071b7b4-0147-4960-bdb0-ac337f5171e1
487771,0071b7b4-0147-4960-bdb0-ac337f5171e1
2158207,0071b7b4-0147-4960-bdb0-ac337f5171e1
2158209,0071b7b4-0147-4960-bdb0-ac337f5171e1
2158211,0071b7b4-0147-4960-bdb0-ac337f5171e1
485392,01242e9b-3ce2-409d-9280-ea8652ed0dcb
2160720,01242e9b-3ce2-409d-9280-ea8652ed0dcb
2161291,01242e9b-3ce2-409d-9280-ea8652ed0dcb
21355,01242e9b-3ce2-409d-9280-ea8652ed0dcb
2178692,01242e9b-3ce2-409d-9280-ea8652ed0dcb
8543759204661,01e72609-7ca9-4bcf-a3ac-7a73372e4e6e
3653567,01e72609-7ca9-4bcf-a3ac-7a73372e4e6e
3653568,01e72609-7ca9-4bcf-a3ac-7a73372e4e6e
6608548724835,02348a95-f983-41b0-b05f-70c3dcd46bf5
1812281,02348a95-f983-41b0-b05f-70c3dcd46bf5
966390,023b9270-dbf2-42e5-bf03-d3d0b2d95d6a
966391,023b9270-dbf2-42e5-bf03-d3d0b2d95d6a
2194379,023b9270-dbf2-42e5-bf03-d3d0b2d95d6a
2158201,023b9270-dbf2-42e5-bf03-d3d0b2d95d6a
57020,023b9270-dbf2-42e5-bf03-d3d0b2d95d6a
48144,023b9270-dbf2-42e5-bf03-d3d0b2d95d6a
2161111,029a1052-de34-478f-bd90-28f3b905aa81
22915,029f49f7-3473-4803-bdfb-33299442c37e
49487,029f49f7-3473-4803-bdfb-33299442c37e
484255,02b9ab64-ded4-4b63-8a73-8e9d60af005a
484256,02b9ab64-ded4-4b63-8a73-8e9d60af005a
484257,02b9ab64-ded4-4b63-8a73-8e9d60af005a
39874,02b9ab64-ded4-4b63-8a73-8e9d60af005a
39911,02b9ab64-ded4-4b63-8a73-8e9d60af005a
40077,02b9ab64-ded4-4b63-8a73-8e9d60af005a
2211659,02b9ab64-ded4-4b63-8a73-8e9d60af005a
487764,02c7c0f7-2cba-4ac1-a836-f819cc23d1cf
487765,02c7c0f7-2cba-4ac1-a836-f819cc23d1cf
487766,02c7c0f7-2cba-4ac1-a836-f819cc23d1cf
1937431,02cddc93-7f3d-4b99-bd4e-f702a38dc3ae
8506480656693,02e17cf9-444f-45a2-a72e-a96ad76d0f59
7431692,02e5106f-cc1c-4c76-b3f7-c58151b6918e
7431693,02e5106f-cc1c-4c76-b3f7-c58151b6918e
7431694,02e5106f-cc1c-4c76-b3f7-c58151b6918e
2148464,02e76043-8a0c-40d4-a967-f4fdce9dc260
2138219,02e76043-8a0c-40d4-a967-f4fdce9dc260
326493,02e76043-8a0c-40d4-a967-f4fdce9dc260
2138221,02e76043-8a0c-40d4-a967-f4fdce9dc260
45708,02f517ec-ee4c-4ad0-876d-3b460a2183d8
45708,02f517ec-ee4c-4ad0-876d-3b460a2183d8
484720,0328d60c-8301-466a-8291-0772bc6e1ac6
20734,0328d60c-8301-466a-8291-0772bc6e1ac6
2228799,0328d60c-8301-466a-8291-0772bc6e1ac6
