product_name,variety
Mixed Assorted Stock,a3adb6a5-11e1-4a31-9bb6-c96391307482
Peach Country Louise Garden Roses,247536e5-cf90-4424-baca-c44464276fe8
White Natural Regular Cut Calla's,a966c3de-c4eb-4065-a89b-d9cdb4793c2b
Burgundy Fiddle Head Fern,9b57efc7-d74b-4744-abd0-fa37f13a37d4
Pink Cream Garcia Spray Roses,3a4aa9e3-f223-403b-8952-40ce6c993493
Pink Mini Calla,579a70c9-95ed-495e-a213-1dfeb34cc7b5
Blue Lagoon Star Thistle,6472aed1-0759-4593-a049-8a9c3c4b690a
White Ranunculus,6645f7ea-f916-4d1e-8cd5-f9b6ed643e1c
Salmon Cushion Veronica Chrysanthemum Spray Pom,ec825c93-8c8a-4ec1-8bb3-ee32cf25e302
Green Mini Select Hydrangea,e8b280c0-693f-4f58-a68e-c721b106aa8b
Green Italian Ruscus,d7583b3b-5a47-42ca-b83d-9cb4f880a768
Orange Free Spirit Garden Roses,d24a19f4-a094-4319-8be4-e711959f72db
White Parrano Lilies La Hybrids,b3959380-88f2-4624-9d78-9bc0e8c6e3bf
Red Antique Select Exclusive Grown / Hydrangea,64bee008-0495-4f0d-bf41-5998a53ec8be
Green Brillantina Pittosporum,be4b1921-efe4-4e66-be9a-f6f043a32fbc
White Stock,5de3bbad-c3b8-4c77-aa4e-ec49154b374a
Yellow Button Paintball Chrysanthemum Spray Pom,f2c48fb0-229c-462b-9f3c-c0d01caf5e1d
White Skyler Veronica,accb49df-39c1-406b-a643-9d09a9917152
White Stars Of Beth,265ca77d-c694-4733-af76-b130e6a72f1c
Green Kale,20b03cb2-7024-4c01-a637-9717913a535f
Blush Garden Spirit Roses,ff23babb-67ec-438c-a48e-480d8fd4f44b
White Success Clooney Ranunculus,22d7df50-9c85-4055-ac74-1cac599d9bf7
Burgundy Ranunculus,7b357f80-f45b-4046-b93c-32457a785910
Purple Mini Calla Bicolor Purple-Cream,d7ff2164-d457-4e30-b71d-55b00ae1335b
Pink Bombon Chrysanthemum Disbuds/ Mums,c48b2514-fd16-4a25-a999-7001e75fd9bf
Green Hanging Amaranthus,a035bd55-23af-4c21-83b0-baef07669984
Purple Blue Anemone,fb7b8740-e49b-4470-b4c5-f1eb4282b2dd
Green Israeli Ruscus,85fa7098-487a-48cb-957e-4b323f1b637d
Pink Ginger Spray Roses,7b6b7fd7-ef5c-46db-9da2-063a090912de
White Select Hydrangea,311cab55-4199-453e-9fd0-a28bdaf286c6
Yellow Billy Balls,283c2c55-dca0-4e66-8066-0e08586b8e27
Variegated Silver Queen Pittosporum,2829064f-60db-4abf-ab17-53871769a0a5
Lavender Pina Colada Limonium,4d5b16b5-a7e3-4325-a827-fcf4ca0e5b4d
Variegated Aspidistra,36b75d67-defd-4b5e-a3df-218a67d52d21
Blue Bird Delphinium,ceccaf3b-3136-4a65-8838-5a246099bae7
Green Baby Blue Eucalyptus,7d8ce12e-2d95-4d61-8534-2d6a40b83470
White Spray Roses,bc94c70e-f037-4c11-a325-e610896e463c
White Freesia Single,547ba649-594e-486f-a2ce-3c434bd300a1
Pink Carnation,099afe34-5d77-4e3d-ad1b-9de715fb92cd
White Ohara Garden Roses,305aab46-72f9-461d-afc7-98d901c13243
Lavender Focal Scabiosa,d451e41f-8bea-4de4-8726-dafa69794e24
Green Parvafolia Eucalyptus,16f00251-8ae0-43a9-b874-5041e940b2cf
Pink Stock,45bd7d4c-89f2-4b5e-a5ea-52b759201447
Purple Moon Roses,61b349b4-8178-4323-8484-e83b6cc866ab
Lavender Trick Ks Delphinium,e2b62f73-b12d-4327-b49f-1deb420e38c5
Blue Volkerfrieden Delphinium,de8df88b-9de8-4e0d-bbad-e058e412a9b8
Cream Pompeii Roses,17d1b346-a167-4252-b937-fbb16b9d0ddd
Pink Sweet Roza Bouvardia,e329f8a2-3db9-4fc6-93b9-d02fa469d052
Yellow Snapdragons,0a7db376-3513-45ad-8f4e-3f382fe8f0eb
Pink Majolika Spray Roses,96c6b8ba-c1ef-4f84-838e-e753fd3cc71d
Green Assorted Cm Succulents,ae608eed-579b-4d73-9c36-9cc5821ef68a
Red Freedom Roses,bb8c5298-179b-4c2b-a57a-de0b14efa71b
Lavender Amnesia Roses,c7aedaca-dac0-48fc-ad08-9945e33cbb7b
Purple Mistral Plus Viola Anemone,080e3046-11d3-4f9b-9218-e8b1182c11c8
White Snowball Matricaria,ee731418-cf34-4b34-804a-fc831586ddec
Red Ranunculus,b15ec624-8d56-4f91-b58e-87d910846914
Peach Sahara Sensation Jumbo - Pinky Color Tones Spray Roses,3317161d-b165-4b58-809e-76361ab8aa02
Salmon Mayras Peach Garden Roses,2fc0dedf-e804-4325-8d35-42b4f0335cfc
Orange Sonora Spray Roses,8662a493-966a-45e4-afa6-3d71f761bba9
Burgundy Red Velvet Scabiosa,abbffbc5-777d-4081-9627-23e6f4487960
White Alba Roses,ec9f8631-2bf7-4f2b-badd-d7a9b35fb6ea
White Playa Blanca Roses,3276d79d-695d-4f45-87c4-d53166e34ef3
Red Elegance Chocolate Ranunculus,f8ec7f12-aa02-4379-92f2-23c2ed49703d
Brown Chocolato Natural Ranunculus,80676404-d778-41e8-a806-e6edbafa7852
Orange Nina Roses,f5e624fd-f516-49c2-9ea7-b6f14f2a731d
White Snowbliss Roses,da0db6cc-b243-40f8-bfd7-a3443d95b0fc
White Misty Lisianthus Double,ba23cb9b-3bbc-4d36-9bcf-4f98b3978858
Yellow Solidago Golden Glory Aster,3222f59a-466c-47b4-a143-cc904fdd5861
Yellow Bl Lilies La Hybrids,955ac9bd-6ecc-4f2d-8d9f-435dc065ce9c
Lime Dynamic Garden Roses,4f6601ec-ae60-4fcc-ba80-c79350dbad4e
Green Parvifolia Eucalyptus,9bf77417-3ff1-44a7-9da2-3a1e5a38d570
White Peony,43575bbf-1930-43ba-a0f0-693b4aa795eb
White Solomio Ard Dianthus,2c1e8cff-5e38-455c-9bf9-bed60f41c420
Red Verticillata Ilex,d9aaef29-095c-414d-9394-c56e43f6a7d3
Peach Elegance Ranunculus,30ce051b-aeb5-4d7c-965b-33d0d93dba9d
Green Parvafolia Eucalyptus,d7c8efe6-7491-4a6b-9ba1-d769537ccfea
Brown Solidago Golden Glory Aster,bc1a0b46-d10a-43f7-9005-f3885627dc9a
Green Pulvurulenta Eucalyptus,f213c839-d4d5-4b63-84b5-7d14df8f41ce
Blue Belladonna Dark Delphinium,88f6174f-e8a1-4c00-b99f-7938f1179e1f
Pink Light Ranunculus,8dec5f0d-1ec9-4914-a540-0335e5c6933c
Pink Monsieur Jules Elie Peony,7c3bc867-3e39-418b-8e5d-6a0fa7dd836f
Peach Elegance Coral Ranunculus,8cd06f9a-e843-46ec-91f9-b2998d471eba
Pink Elegance Ranunculus,9470db6a-3665-4a56-9ef8-a93d6bcc4583
